Country,Year,Rank,Score
NGA,2013,120,26.57
NGA,2014,110,27.79
NGA,2015,128,23.72
NGA,2016,114,23.15
NGA,2017,119,21.92
NGA,2018,118,22.37
NGA,2019,114,23.93
NGA,2020,117,20.13
NGA,2021,118,20.1
NGA,2022,114,16.9
NGA,2023,109,18.4
NGA,2024,113,17.1
NIC,2011,110,25.78
NIC,2012,105,26.7
NIC,2013,115,27.1
NIC,2014,125,25.47
NIC,2015,130,23.47
NIC,2016,116,23.06
NIC,2017,-1,-1
NIC,2018,-1,-1
NIC,2019,120,22.55
NIC,2020,-1,-1
NIC,2021,-1,-1
NIC,2022,108,18.1
NIC,2023,115,16.9
NIC,2024,124,14
NLD,2011,9,56.31
NLD,2012,6,60.5
NLD,2013,4,61.14
NLD,2014,5,60.59
NLD,2015,4,61.58
NLD,2016,9,58.29
NLD,2017,3,63.36
NLD,2018,2,63.32
NLD,2019,4,61.44
NLD,2020,5,58.76
NLD,2021,6,58.6
NLD,2022,5,58
NLD,2023,7,60.4
NLD,2024,8,58.8
NOR,2011,18,52.6
NOR,2012,14,56.4
NOR,2013,16,55.64
NOR,2014,14,55.59
NOR,2015,20,53.8
NOR,2016,22,52.01
NOR,2017,19,53.14
NOR,2018,19,52.63
NOR,2019,19,51.87
NOR,2020,20,49.29
NOR,2021,20,50.4
NOR,2022,22,48.8
NOR,2023,19,50.7
NOR,2024,21,49.1
NPL,2011,-1,-1
NPL,2012,113,26
NPL,2013,128,24.97
NPL,2014,136,23.79
NPL,2015,135,21.08
NPL,2016,115,23.13
NPL,2017,109,24.2
NPL,2018,108,24.17
NPL,2019,109,24.85
NPL,2020,95,24.35
NPL,2021,111,22.5
NPL,2022,111,17.6
NPL,2023,108,18.8
NPL,2024,109,18.1
NZL,2011,15,53.79
NZL,2012,13,56.6
NZL,2013,17,54.46
NZL,2014,18,54.52
NZL,2015,15,55.92
NZL,2016,17,54.23
NZL,2017,21,52.87
NZL,2018,22,51.29
NZL,2019,25,49.55
NZL,2020,26,47.01
NZL,2021,26,47.5
NZL,2022,24,47.2
NZL,2023,27,46.6
NZL,2024,25,45.9
OMN,2011,57,35.51
OMN,2012,47,39.5
OMN,2013,80,33.25
OMN,2014,75,33.87
OMN,2015,69,35
OMN,2016,73,32.21
OMN,2017,77,31.83
OMN,2018,69,32.8
OMN,2019,80,30.98
OMN,2020,84,26.5
OMN,2021,76,29.4
OMN,2022,79,26.8
OMN,2023,69,28.4
OMN,2024,74,27.1
PAK,2011,105,26.75
PAK,2012,133,23.1
PAK,2013,137,23.33
PAK,2014,134,24
PAK,2015,131,23.07
PAK,2016,119,22.63
PAK,2017,113,23.8
PAK,2018,109,24.12
PAK,2019,105,25.36
